uuid,memberid,name,DOB,street,building,pin,town,state,country,tax_id_masked,email,cell
fd8bd76e-eb13-4873-a93b-cc1bd9e7b9c0,CC00000049,Lindsey Hill,1942-09-13,Horn Skyway,87127,68413,Virginia Beach,VA,US,XXX-XX-0049,jenniferrivera@example.net,+1-796-806-4
4c484072-04b3-4eed-bc5f-862b584805d0,CC00000050,Kimberly Parker,1985-03-15,Kevin Roads,236,59871,Virginia Beach,VA,US,XXX-XX-0050,ujensen@example.net,(541)894-738
41559be7-3297-4e06-bd9a-1fd260398a0b,CC00000051,Sean Freeman,2006-04-23,Mark Bridge,3785,83671,Virginia Beach,VA,US,XXX-XX-0051,kristiwilliams@example.com,853.641.5434
06823fb3-2e52-4ec3-bf01-8a8953aec9b2,CC00000052,Brittany Copeland,1996-07-22,Scott Trafficway,68531,24389,Virginia Beach,VA,US,XXX-XX-0052,gsims@example.net,486-713-0866
60707000-6099-4cba-be9b-aced14ce87b8,CC00000053,Darren Fox,1956-06-30,Santiago Greens,21888,94766,Newport News,VA,US,XXX-XX-0053,lindsayknight@example.com,507-300-0561
57b9e3b1-ee41-4462-b699-7e84182f518e,CC00000054,Kimberly Richardson,2002-03-11,Nguyen Brooks,73191,46880,Newport News,VA,US,XXX-XX-0054,sanchezdennis@example.net,(647)243-342
57454e1b-9d81-4362-8a8a-22c1e63d5cb4,CC00000055,Michael Brooks,1988-12-11,Cole Roads,6525,64611,Norfolk,VA,US,XXX-XX-0055,melissa74@example.com,987-779-5668
50f49914-982d-48d3-9ea5-1f99a2fc358a,CC00000056,Diane Thomas,1948-11-23,Davis Trace,445,33964,Virginia Beach,VA,US,XXX-XX-0056,dukeholly@example.net,840-357-1722
3a0e92dd-70c8-4277-a9db-9e743f650bf8,CC00000057,Joel Vance,1968-07-15,Kelsey Forest,878,03594,Virginia Beach,VA,US,XXX-XX-0057,daniel89@example.net,001-821-735-
b2fc6200-6064-46c4-8fbe-427792cfa196,CC00000058,Nicholas Garrett,2006-04-12,Hicks Mill,68950,35765,Virginia Beach,VA,US,XXX-XX-0058,ksimpson@example.net,540.676.9851
dd4b0c12-8fe5-48d3-a52a-0e0afa764598,CC00000059,Danielle Phillips,1994-07-23,Mccoy Corner,51233,84964,Newport News,VA,US,XXX-XX-0059,chenrita@example.net,(859)306-938
ca4997d4-df8a-4712-9510-5b3041006688,CC00000060,Jerry Pennington,1988-03-29,Tammy Land,49439,80084,Newport News,VA,US,XXX-XX-0060,uharris@example.org,822.961.9933
0ad45e0e-5915-45c2-885e-77204289a969,CC00000061,Rachael Olson,1957-03-29,Marshall Land,640,08936,Newport News,VA,US,XXX-XX-0061,greenwilliam@example.net,855.237.0491
81eb5eb6-6b60-4260-8943-94249c48c3af,CC00000062,Craig Murray,1981-05-15,Joseph Keys,551,76554,Newport News,VA,US,XXX-XX-0062,james98@example.com,982.972.8851
975846f1-3858-4229-85c6-61b57dd91663,CC00000063,Margaret Elliott,1998-12-04,Ferguson Path,47541,36044,Virginia Beach,VA,US,XXX-XX-0063,jmcbride@example.net,922-610-5458
269e2146-9975-4508-9de1-2fef7f95ae25,CC00000064,April Willis,1984-09-07,Thomas Islands,80971,03282,Virginia Beach,VA,US,XXX-XX-0064,mjackson@example.net,4395920173
1a33b10d-4800-449f-acc0-22f0e4fa56bf,CC00000065,Derrick Miller,1982-08-16,Mary Village,17359,11918,Norfolk,VA,US,XXX-XX-0065,gcabrera@example.com,7623707108
9c16b874-3fb8-4ad5-b07c-d392444f595e,CC00000066,Matthew Guerra,2001-02-19,Nichols Freeway,420,95775,Newport News,VA,US,XXX-XX-0066,samantha39@example.com,279.335.9388
ee1e643a-9caa-49eb-a0c6-6c5c1b895746,CC00000067,Leah Franklin,1992-03-14,Isabel Throughway,2180,60469,Newport News,VA,US,XXX-XX-0067,ywebb@example.net,278.724.7916
89860909-5fdc-4726-99af-7a95900cdfe7,CC00000068,Olivia Patterson,1983-10-27,Barry Creek,1608,76788,Newport News,VA,US,XXX-XX-0068,sandranielsen@example.org,970.357.7562
d7ea26e3-0b3e-43c6-96dc-93fe80e220ba,CC00000069,Patrick George,1972-11-22,Robert Ramp,721,52127,Norfolk,VA,US,XXX-XX-0069,icopeland@example.org,647-527-6106
91188954-048f-4728-9bd0-bbea4d0fc503,CC00000070,Tyler Richardson,1961-07-18,Daniel Hills,794,73893,Newport News,VA,US,XXX-XX-0070,pcohen@example.net,+1-336-392-5
d4e49487-2f97-4804-ae90-ee7d7c8671bb,CC00000071,James Ward,1990-11-10,Zachary Falls,8678,86026,Newport News,VA,US,XXX-XX-0071,jennifer54@example.org,790.391.8607
05b97e72-fa0c-4f87-8b52-e49c347be303,CC00000072,Anne Becker,2008-01-01,Tammy Walks,56272,64649,Virginia Beach,VA,US,XXX-XX-0072,wwise@example.net,001-881-604-
2b1647a9-6386-434e-846d-6044ed1b7c2f,CC00000073,Thomas Ramsey,1992-10-21,Smith Roads,0313,83455,Norfolk,VA,US,XXX-XX-0073,riggsbenjamin@example.com,681.561.2548
1243881d-8f7a-46a0-9ff1-f0781b3f4728,CC00000074,Mark Johnson,1991-07-03,Sheri Fort,03665,96150,Norfolk,VA,US,XXX-XX-0074,vhopkins@example.org,001-462-406-
322b32f2-d97d-462f-8e0b-bd7290605cd0,CC00000075,James Holmes,1991-08-13,Michael Burgs,6264,75490,Virginia Beach,VA,US,XXX-XX-0075,leah82@example.net,469.577.8757
4b9bf61c-bf52-446a-8327-2ed3901d4b92,CC00000076,Monique Barnett,1977-01-06,Quinn Alley,95673,79924,Norfolk,VA,US,XXX-XX-0076,osbornegabriel@example.net,929.511.8346
2bd63fac-1563-4863-a5ac-154ac5c35910,CC00000077,Christopher Frey,1963-03-18,Leslie Roads,4388,01949,Newport News,VA,US,XXX-XX-0077,craigdavis@example.com,001-295-982-
38ac216b-0ffe-4e67-a52b-5523d5b59795,CC00000078,Jeffrey Stafford,1970-02-09,Daniel Circles,5265,60810,Norfolk,VA,US,XXX-XX-0078,michael09@example.net,8923594164
834a6179-33d8-4b1f-a425-096aeb2d73b7,CC00000079,Stephanie Williams,1950-04-29,Lonnie Point,4784,14276,Norfolk,VA,US,XXX-XX-0079,lnelson@example.com,+1-787-936-9
f63340da-f3c8-4c22-9c41-144b71699bd8,CC00000080,Thomas Terrell,1994-08-13,Todd View,168,88721,Norfolk,VA,US,XXX-XX-0080,williamskristen@example.net,(468)945-577
d9f9fa8e-7142-43d2-a1f1-3452c33ac9e9,CC00000081,Abigail Morales,1989-06-01,Ann Pines,22969,41960,Newport News,VA,US,XXX-XX-0081,stacy20@example.net,001-327-540-
fbaed409-3b08-4790-be4e-f69fdc074b4c,CC00000082,Sarah Downs,1999-10-29,April Pines,0641,32976,Newport News,VA,US,XXX-XX-0082,vreyes@example.net,+1-353-884-0
58a84511-5820-4acd-8f10-bf89bd978a2b,CC00000083,Kevin Mckee,1960-04-05,Linda Via,612,04938,Norfolk,VA,US,XXX-XX-0083,danielglover@example.com,641.956.4482
467dcd91-8389-4a27-aaeb-298d7167fd33,CC00000084,Jacob Barron,1972-05-03,Carter Brook,216,17028,Newport News,VA,US,XXX-XX-0084,kendra09@example.org,+1-628-749-9
fb6b7d68-e94f-4bf2-9aca-aad1b0e06a46,CC00000085,Robert Jones,1959-01-29,Richard Court,7838,98191,Virginia Beach,VA,US,XXX-XX-0085,khunter@example.net,(989)534-585
9f7ead72-3660-4259-9cb6-a7b816c191fe,CC00000086,Joel Ruiz,1994-08-02,Berry Flats,324,64085,Norfolk,VA,US,XXX-XX-0086,jennalowery@example.com,2564078453
f23fab20-4fed-4184-9378-30c8b26e2cb0,CC00000087,Nicole Fox,1976-01-21,Bailey Spring,025,87778,Virginia Beach,VA,US,XXX-XX-0087,ccarter@example.com,001-765-987-
24aca22d-fde5-4ea6-be7f-a533dde7a219,CC00000088,Jose Roth,1978-10-22,Cruz Mews,025,94884,Newport News,VA,US,XXX-XX-0088,andrea45@example.org,209-401-0057
9e55b631-4bad-4414-95d3-63bb94ef5189,CC00000089,Lori Taylor,1965-04-12,Bowman Ramp,936,07867,Virginia Beach,VA,US,XXX-XX-0089,eyoung@example.org,223-241-2033
7be3feca-502a-4f21-b180-38787be484fe,CC00000090,Sergio Dickerson,1950-01-17,Jorge Stravenue,22152,10830,Newport News,VA,US,XXX-XX-0090,james03@example.com,+1-772-359-1
014c9ab6-e591-4d56-8d73-e2d639a4883b,CC00000091,Raymond Lewis,1966-11-16,Yates Mission,721,80560,Virginia Beach,VA,US,XXX-XX-0091,osbornelee@example.com,472.421.5433
7985b1f9-0bb0-48d0-bbcf-333f5f4f6b5e,CC00000092,Dana Reed,1945-09-26,Vaughan Mall,07153,80634,Newport News,VA,US,XXX-XX-0092,njones@example.org,+1-325-768-9
f6ec4eea-58b3-45da-8b0c-b266756e1bd5,CC00000093,Timothy Bauer,1946-03-20,Ramos Ridges,03202,37484,Virginia Beach,VA,US,XXX-XX-0093,timothy68@example.net,+1-834-600-1
1b5018f1-6877-4f3a-912d-2d31c0745662,CC00000094,Daniel Smith,1952-05-07,Thomas Mountain,098,50850,Virginia Beach,VA,US,XXX-XX-0094,timothyjohnson@example.org,(711)436-939
3218b646-f8ef-4cee-ada7-b53401e083bf,CC00000095,Angela Thompson,1955-02-08,Alvarez Corner,447,57794,Norfolk,VA,US,XXX-XX-0095,akidd@example.com,872-254-4506
b71c4121-3d79-4628-b234-7269a8ad51b9,CC00000096,Drew Rich,1955-10-28,Richard Trafficway,855,59901,Norfolk,VA,US,XXX-XX-0096,kelly53@example.com,(674)719-627
f4cdf0dc-5c05-4ded-92ae-7fb9beac8b4a,CC00000097,Mitchell Chan,1973-04-13,Tina Underpass,1920,64669,Newport News,VA,US,XXX-XX-0097,tsmith@example.org,638-666-5872
1e587d1b-72b2-4fa3-a1e2-1fcbd65c6c25,CC00000098,Andrea Ibarra,1995-01-27,Leslie Summit,34353,16294,Norfolk,VA,US,XXX-XX-0098,hstevenson@example.com,001-493-556-
995b2af8-8422-411e-bb33-26c73d46f5f2,CC00000099,Tony Harrell,2006-05-02,Felicia Stream,9573,76241,Norfolk,VA,US,XXX-XX-0099,michaelroach@example.org,+1-265-578-9
5859ad83-dc90-4b0d-ad98-473a05778adb,CC00000100,Chris Wood,1959-05-07,Harper Mountain,592,46281,Virginia Beach,VA,US,XXX-XX-0100,fitzgeraldleslie@example.net,358-694-9046
d321a89f-5ff8-43ec-959e-400412ca5865,CC00000101,Andrew Hill,2001-05-27,Russo Mount,8396,95828,Virginia Beach,VA,US,XXX-XX-0101,joshua95@example.net,+1-974-872-3
0ed0c5cf-71e4-4a5d-b2ac-cc844af3a31e,CC00000102,Lauren Jones,1951-02-21,Rose Grove,203,95534,Virginia Beach,VA,US,XXX-XX-0102,larryrodriguez@example.net,220-409-5360
4cde8501-b81f-4def-986a-c7f31dfa3005,CC00000103,Kathleen Sandoval,1940-11-29,Brooke Streets,535,10706,Newport News,VA,US,XXX-XX-0103,morganjennifer@example.net,554-809-6209
fb2eb580-3670-4a33-8a6f-280213667c66,CC00000104,Matthew Calhoun,1978-07-07,Moss Divide,129,33655,Norfolk,VA,US,XXX-XX-0104,jchandler@example.org,419.847.5437
61eafca8-3e36-419a-8aa5-c07b38b1faa7,CC00000105,Stephanie Lee,1952-04-07,Gary Shores,6497,41690,Newport News,VA,US,XXX-XX-0105,courtneywaller@example.net,+1-304-236-5
4df92c74-6257-4ad8-8b5c-3c25844cf0e4,CC00000106,William Harrison,1997-04-17,Miller Cliff,072,23850,Norfolk,VA,US,XXX-XX-0106,cassidy97@example.net,409.622.1393
d08f483c-6789-4760-82a5-57bc3e43e8b7,CC00000107,Carrie Barajas,1959-03-08,Jacqueline Courts,003,24575,Newport News,VA,US,XXX-XX-0107,monicaandrews@example.net,946-967-4913
3050d643-bc79-4002-a4f5-45f474e7c088,CC00000108,Andrew Garcia,1956-02-26,Keith Courts,511,22313,Newport News,VA,US,XXX-XX-0108,rhunt@example.net,001-996-865-
dca5bc8f-207e-4d77-ae04-ede4939c25d3,CC00000109,William Johnson,1946-01-05,Mays Road,5883,97583,Newport News,VA,US,XXX-XX-0109,williamsmakayla@example.net,491-913-2047
2202d9a9-3ac0-43ba-b202-af83afbaf2e7,CC00000110,Catherine Lucas,1989-04-08,Johnson Land,897,33415,Norfolk,VA,US,XXX-XX-0110,suarezchristopher@example.com,939.971.9932
dd9fc8dd-9db3-4a4f-ab69-76f70b150e62,CC00000111,Anthony Wood,1967-01-10,April Loop,4971,81479,Newport News,VA,US,XXX-XX-0111,ldixon@example.com,431.525.6146
db0ea33f-470b-4007-8838-f68f8242e2df,CC00000112,Debra Jackson,1943-07-18,Woods Point,9401,94292,Newport News,VA,US,XXX-XX-0112,mking@example.com,8924453656
86b6b95a-dff6-4e3f-9000-b3e0d37892e6,CC00000113,David Dodson,1984-07-16,Brandon Burg,588,47715,Virginia Beach,VA,US,XXX-XX-0113,melissaalexander@example.org,001-632-801-
d2c5d811-c34f-45aa-a315-5ea154655c2f,CC00000114,Shannon Jennings,1943-02-09,Reyes Shoal,76166,42465,Newport News,VA,US,XXX-XX-0114,foxcody@example.net,(508)622-430
41540bec-4f50-4655-a5cc-1ce968a43a7c,CC00000115,Jennifer West,1996-05-17,Zimmerman Viaduct,9472,09362,Newport News,VA,US,XXX-XX-0115,brendannorman@example.org,868-746-4748
ab2792fe-0451-44ec-aa37-8012b9f3ce91,CC00000116,Angelica Riddle,1957-12-13,Brooks Highway,265,21614,Newport News,VA,US,XXX-XX-0116,cortezjeremy@example.net,592.604.3319
a1525554-4f30-4576-9ed5-dd71195efd45,CC00000117,Nicole Rocha,1944-01-25,Owens Route,88757,76241,Norfolk,VA,US,XXX-XX-0117,hgoodwin@example.net,(979)846-018
5d1f8755-eaee-489d-8fe2-b999e90d3b52,CC00000118,Michael Chambers,1989-08-29,Laura Park,6395,80711,Norfolk,VA,US,XXX-XX-0118,sheri36@example.org,(872)735-978
17ad4c25-c750-4dc8-9404-015af13d01b2,CC00000119,Johnny Rivers,1997-08-13,Hailey Pines,546,08834,Newport News,VA,US,XXX-XX-0119,pamela98@example.org,950-874-4810
b3051f28-f22f-4014-95fc-5412d40e68fb,CC00000120,Tracy Bush,1963-11-04,Kevin Trafficway,5007,78486,Newport News,VA,US,XXX-XX-0120,kellyrichardson@example.org,370-215-3634
2c6176fc-3707-4a53-a9d2-cff711be3929,CC00000121,Sean Padilla,2004-06-25,Breanna Springs,3194,23291,Norfolk,VA,US,XXX-XX-0121,christopherrandall@example.org,901-269-9275
ab799a05-dd60-4cb4-a10e-09ecc6985752,CC00000122,Kathryn Jones,1945-05-18,Penny Mission,25146,01774,Virginia Beach,VA,US,XXX-XX-0122,juan97@example.org,414.646.6349
956c59e6-bdde-480d-8bf7-9bc594039f7d,CC00000123,Diane Watson,1989-07-28,Jon Plaza,29021,65177,Newport News,VA,US,XXX-XX-0123,lmckenzie@example.org,+1-734-472-9
4a6d3420-f083-43c2-9471-144455dadc6b,CC00000124,Mark Moran,1970-07-24,Davis Circle,8466,75452,Newport News,VA,US,XXX-XX-0124,aschwartz@example.org,+1-542-606-2
b334d690-29f4-49bc-88a2-3881e4b16e23,CC00000125,Adam Rivera,1981-02-13,Martin Extension,9290,07791,Newport News,VA,US,XXX-XX-0125,gainesjoanna@example.net,615-980-0283
05afb977-1a15-4e7b-bd9f-96ec9af3110d,CC00000126,Michael Giles,1955-05-06,Monica Extension,7077,60693,Newport News,VA,US,XXX-XX-0126,michael31@example.org,001-838-769-
bbbb31d7-f02d-4b2b-9147-9cf0c46d21e8,CC00000127,Tara Thompson,1963-07-30,Mitchell Square,173,96166,Norfolk,VA,US,XXX-XX-0127,aguilargina@example.org,2858950352
deff079b-4683-444d-953b-838b263f6f4a,CC00000128,Christine Allen,1967-03-26,Fisher Tunnel,827,40602,Newport News,VA,US,XXX-XX-0128,ashea@example.net,584-704-0242
d34b8e93-4d4f-453f-a264-453a28c892ec,CC00000129,Jorge Holmes,1988-04-03,Marshall Walks,3108,10120,Norfolk,VA,US,XXX-XX-0129,ryanmathews@example.net,7543096090
bd734418-d271-4921-8480-827aa6171c79,CC00000130,Bryan Carney,1989-01-16,Parker Isle,366,46643,Norfolk,VA,US,XXX-XX-0130,finleyjohn@example.org,875-273-0203
e2285edf-1c48-489d-bbc5-93909170bacf,CC00000131,Michael Chen,1981-08-12,Rodriguez Court,205,86110,Virginia Beach,VA,US,XXX-XX-0131,taylorhannah@example.net,001-941-597-
ea2e4d89-3dd6-4461-af61-d4e22325ec6a,CC00000132,Joseph Baker,1973-12-31,Chase Corners,713,25877,Norfolk,VA,US,XXX-XX-0132,marissaclark@example.com,940-881-5249
1e57e33e-eaa5-4413-9d3c-a8f08808ebb2,CC00000133,Brenda Barnes,1944-03-28,Richard Gardens,80510,24965,Newport News,VA,US,XXX-XX-0133,bradley04@example.com,(617)473-369
757e6147-8b0f-41b7-a966-931daf2340f1,CC00000134,Allison Rodriguez,1977-06-06,Donovan Island,2561,61490,Norfolk,VA,US,XXX-XX-0134,teresaperry@example.org,774.814.4574
c82d0f36-611b-4ab3-9cf7-7d88154202e2,CC00000135,Victoria Sandoval,1956-05-19,Anne Plains,3650,76662,Virginia Beach,VA,US,XXX-XX-0135,kgarrett@example.net,6802216392
05ec3a4a-99c5-407a-9096-7e2c895c6716,CC00000136,Victoria Long,1946-06-08,Porter Well,831,52285,Virginia Beach,VA,US,XXX-XX-0136,brianruiz@example.org,955.460.8081
9002f013-e3f8-4e7a-bab3-ff4af8163725,CC00000137,Michael Adams,1993-01-01,Hall Mews,6723,27817,Newport News,VA,US,XXX-XX-0137,josephhorton@example.com,001-436-792-
5c439304-1ec2-4461-b0fc-19bde41b22af,CC00000138,Kelly Reynolds,2007-02-26,Wyatt Via,2971,30378,Virginia Beach,VA,US,XXX-XX-0138,brownjennifer@example.org,001-820-734-
2ab097a7-83fe-4faa-8018-2da5950998c3,CC00000139,Denise Cooper,1960-02-08,Bradshaw Inlet,8455,57335,Newport News,VA,US,XXX-XX-0139,aguilarlaurie@example.org,+1-357-762-5
