loan_uuid,account_number,account_type,account_status,product_id,entity_uuid,relationship_type_id,open_date,interest_rate,billing_cycle_day,term_in_months,original_amount,currency,collateral_description
6adef451-e6fb-4287-8a9e-e54120c76054,LCC00000011,mortgage,active,f7e8ed19-1b23-4fb5-beae-2e5d49c87b4c,151ccb56-908d-4def-94e0-83d59a220892,c2a2933b-0107-44f7-a2da-5199546382f8,2021-10-24T00:00:00Z,6.89,15,180,272681.54,usd,Condo unit 430 Vargas Plains Suite 910
c5470a5f-2d67-40d1-be3f-d6a8c91c7de7,LCC00000012,home_equity,active,dd4a01bb-fbb2-47b7-8caf-6ae463aecde8,78850b2e-4056-478c-b53a-b881106c5086,f22fb858-03fe-40fe-b32f-c462ee9afb9c,2022-02-06T00:00:00Z,9.38,26,180,61861.99,usd,Townhouse 813 Randy Junctions Suite 097
09dc7fe4-8fef-4cff-b934-436898155dc3,LCC00000013,mortgage,active,80f4ddb2-cc16-4873-83f8-1e06b4401a23,146f2aaf-86ab-4d9c-adf1-2d4d49b8ce9d,09561fb7-347f-4144-8f40-d8533a05ecc4,2023-04-22T00:00:00Z,6.28,25,180,361764.43,usd,Townhouse 0028 Leonard Burgs
372d948b-766c-4493-b134-e9245c12b549,LCC00000014,personal,delinquent,eb8926ef-09f3-4cb1-8fe9-6cc0716fecc8,62852097-4cee-487e-9628-87adaeb852ce,a7ca37bd-ccf0-433e-b2b8-06f933a38972,2022-08-30T00:00:00Z,10.98,22,48,15451.0,usd,
6f386d6f-9dd6-4c7e-9e11-9063159465d9,LCC00000015,mortgage,active,1417f416-996b-467e-9199-ca4706234cbd,89448101-ddc3-4f89-bc57-026bbddfccdf,aadf61ac-7cc3-4064-b7d6-38c202708bb6,2020-01-21T00:00:00Z,5.97,3,240,205251.03,usd,Condo unit 2613 Martin Vista
4a2b7f31-88de-473f-bee2-6e367309d3df,LCC00000016,personal,active,f6987da0-5f7b-4304-8c19-3367db1d5d4f,7d1305da-ad7b-441c-b5f6-ba6d5a65c2ec,9f1ec730-752d-4bb6-95a0-6b130f2ce213,2021-06-06T00:00:00Z,12.46,21,48,44533.13,usd,
08dc38a9-23f8-4d5f-9536-e21789af718b,LCC00000017,personal,active,1407255a-3745-4749-b8c3-563f99705a78,b6909b97-b9e6-4a5a-be31-1401de10dfde,7b484d44-8947-49c8-aecb-e842b5aee887,2022-07-26T00:00:00Z,8.95,28,12,46463.75,usd,Primary residence 9675 Desiree Forest
b21da9d5-bbfe-476a-bb80-5935c6fab104,LCC00000018,personal,active,84564877-0eb9-4ff8-92dd-5c88ea956aad,21317dbb-02ea-4a53-b137-618c470a7b65,8d6fc551-b3ea-40a3-a3f1-b94618eba5d2,2022-02-23T00:00:00Z,13.73,20,24,47787.2,usd,
8b273916-e2c9-4206-afe9-f24948670930,LCC00000019,recreational,delinquent,9503edf3-4d3c-4933-b09c-3a1844971586,b1a030f8-52e8-4d4e-90f9-2a990b0eac41,64020b85-bdc4-41ab-9285-a7817c25bc4e,2022-01-23T00:00:00Z,10.18,22,12,29141.64,usd,2019 Ford CX-5 VIN 8VGJJFAVTNJTJEEP5
5da31e2a-229f-46a2-bc36-74ce5cb8de41,LCC00000020,recreational,active,3cb3bfa7-e15c-415c-8152-cb7131572676,79d5c26a-4abb-47fe-9acc-f11a66fc424b,9b8256a1-30b2-4890-b961-0d46f30b90d2,2023-07-24T00:00:00Z,10.68,14,36,27128.47,usd,2018 Toyota CX-5 VIN MC0ANA65EKWX95UEA
9eaa7c49-f6af-45e6-aabd-e059a38b567c,LCC00000021,recreational,active,d56d2cd0-7661-4a4a-8baa-0e7e38ee171f,bdd55755-8962-4e80-b907-92928939bdb1,e6a620c2-4ffc-4dac-8b46-89f484ce7099,2024-09-18T00:00:00Z,11.71,25,12,43644.75,usd,2018 Honda Camry VIN 380350KKJSXXZY6G2
d76b02cf-5520-4fb2-b7c7-f8260f65292c,LCC00000022,recreational,active,c18f5868-2ec3-440a-beaf-25e2005924fe,ae456a46-5b88-4174-8f1a-0a3c1b89f8df,67c2586a-40e0-444e-abab-fea4c0ea519f,2022-12-12T00:00:00Z,14.06,4,12,23594.78,usd,2023 Toyota Camry VIN RRSGUUVH46JFK023H
d0098b25-d887-420b-b9cd-2e831fbcbcb4,LCC00000023,recreational,active,f89262ba-9712-460c-9944-396265bcfd39,8b82eb06-cf87-47f8-ae52-3ae8e8426dac,96623e90-b9f8-40a6-9e2c-037d25522686,2021-11-29T00:00:00Z,14.96,12,24,6329.84,usd,2021 Toyota Camry VIN T459ZJ8N8XT4KMMF2
f27b7b94-26f1-4089-a1ab-9d38cfcbb3ef,LCC00000024,home_equity,active,03439eb6-8239-46a3-83dc-d7fa0a42c464,779ebb5f-73a7-441f-b58a-2f7ed3c06445,ef00c90b-6b87-4522-9769-e5760feeafcb,2020-07-26T00:00:00Z,9.17,25,60,84477.45,usd,Single family residence 28517 Martinez Camp Apt. 159
a6dc6b51-79ad-4880-95b2-9182a7aa95fe,LCC00000025,personal,active,a79b8bd0-b26d-4b83-a4df-59d5395337d7,3c77f33d-4699-42eb-8479-0341c7466db0,8f9017d4-f686-4619-a244-8993d8e42428,2023-10-10T00:00:00Z,9.41,13,12,10777.58,usd,
a56b79a3-864f-40e7-a73c-102b8e4dcb3a,LCC00000026,mortgage,active,f8932522-bab3-40a0-ac41-81e8b550871c,94c83cbf-d2ae-4c5b-a70e-2572ec35e4cb,5f6df8eb-c1b8-4371-b7ef-0eb2aba42856,2022-12-21T00:00:00Z,5.97,8,360,486626.3,usd,Primary residence 56793 Foley Flat
fdcdf3f8-90bd-4121-8f75-a24ec5ad0a2f,LCC00000027,auto,active,4e61e144-2486-44ee-ba50-954195aee31a,e4038818-15b7-4f7e-898b-a7d6ad69ebdb,c3757770-6281-461a-81e3-407ffd4aa9a2,2020-07-30T00:00:00Z,6.21,15,72,42892.0,usd,2020 Ford Escape VIN N941A3CT4JHZL8ZVP
b80959d7-7886-4e00-96ac-cb0fd3e9acc8,LCC00000028,mortgage,active,4dcc32c9-7810-43e5-8576-bb028ca194dc,6f3b7951-b75f-4051-ad6d-f36d760150bc,8b3a2752-0dd8-4752-9eca-b2f3d9b884c8,2023-09-16T00:00:00Z,5.81,18,180,164630.93,usd,Single family residence 5951 Harvey Curve Apt. 653
366a06d9-677b-475b-b9fa-ff9dd72d8c51,LCC00000029,mortgage,active,36b8b761-506d-49b9-9b78-580f0dc88bcc,693e0bad-5dd7-414d-ace6-4e77e30c179f,1a687f42-c16e-4cfa-80db-eb9bacd98e57,2023-08-28T00:00:00Z,6.25,2,240,577681.34,usd,Primary residence 2238 Jimmy Knolls Suite 166
f9517c45-e71b-4f19-93d0-8de39cff2fa5,LCC00000030,mortgage,delinquent,a3225fd3-00af-4a44-b4de-14e5b48a832e,e654b793-8aad-4354-932e-673f3afaef93,0f27ee5d-5c56-4be1-9df2-f7ce9b2bba2e,2023-05-14T00:00:00Z,5.77,12,360,482238.76,usd,Condo unit 18483 Samantha Square Apt. 013
73d20743-5c47-4689-abc6-e31b559df737,LCC00000031,mortgage,active,e05d85d1-0f79-44a5-8cd3-e1be5486f5fd,c8a6a361-474f-4d05-982b-3a83e729d256,4d2a2251-c1ad-4a86-ab00-75ae2d891669,2024-10-03T00:00:00Z,5.8,25,240,391580.25,usd,Townhouse 8043 John Centers Suite 260
bdcec5e0-d3d3-42fd-bf2d-ac9b1c958c1a,LCC00000032,recreational,active,6981f524-0d49-4aef-8d41-82ad7f1181e5,406b62b7-26b1-4e85-898f-00bc169a636f,08628583-1826-4829-8a31-e80073662dff,2021-02-08T00:00:00Z,11.15,14,24,48407.03,usd,2024 Mazda Camry VIN EK2FRUDKTBLJP8VAY
aa6cc38d-60e2-4c36-8c7d-62cdd2c2154b,LCC00000033,recreational,closed,a05e71a8-45c9-463c-ab49-8ba84f99c818,fc7296c7-15ab-4548-ad36-a529d7afe4e3,dd1cef34-ccaf-4e22-9b4c-64244b0baa1b,2023-02-11T00:00:00Z,9.96,11,48,22190.33,usd,2024 Honda Silverado VIN 40CEAZBYP8V9UDMFX
09dcf059-43ba-4f0b-a421-0a4dba49739d,LCC00000034,recreational,active,7a71054b-99b6-44db-9f2e-ce6a9421e46c,a7f89402-0353-4860-abc6-ff5eef3f2b33,787f0ad5-a7da-4448-9b8c-a8d68be528f2,2024-01-02T00:00:00Z,13.37,25,36,33947.67,usd,2019 Toyota Escape VIN XTAAGAL293RP4UF1T
af3aa8a3-4513-4603-9464-b4511eed7727,LCC00000035,mortgage,active,50da5848-5a5b-4731-9090-e084dbe7bf08,53bdf2fc-5296-4bed-818d-ace70b02c06b,5f518f4b-7e8e-4d32-9a88-84ed9b7a711e,2024-07-05T00:00:00Z,6.8,15,360,480941.21,usd,Primary residence 702 Jesus Views
33f19619-ffcd-434c-ae14-6485b96ae547,LCC00000036,mortgage,charged_off,b15dacf4-e8d6-4f3e-9605-a989ec7f9c8c,f7168f21-2fa8-4e0d-82d6-ad83fad9607c,4f3e36f0-bff0-4a26-acaf-3fbf50d38877,2021-01-08T00:00:00Z,5.6,24,180,477513.09,usd,Condo unit 0004 Amy Road Suite 550
fb2ae19b-9279-4e31-ba10-522720ca8b25,LCC00000037,personal,active,6f9cc7ea-123c-4ecb-8e22-5e77fa4daa4d,ca6c7819-cdba-489f-90a1-dab5daea67ab,3b6e6385-3012-4cb1-89bb-eba363eea5c6,2021-08-20T00:00:00Z,10.12,6,12,46012.49,usd,
d27c8f56-1828-4fa0-890d-66b4d64a649c,LCC00000038,auto,active,8bedc8cd-e2f0-4f2b-af64-13d7c8ab2b58,75195aaa-d256-4667-b7f2-aa75e35097d6,173a1a33-cb93-4cbb-b115-ad688f048bda,2022-04-07T00:00:00Z,8.58,24,60,21382.89,usd,2023 Toyota Civic VIN PLCTH0K97VW37E78K
2c8ea1df-413e-45ae-ac73-1798886f1446,LCC00000039,mortgage,active,a54723a4-2fcc-4868-97a0-3c868f439752,e0effcb0-5679-4320-ade3-a8629475fd97,62847a29-c1ba-4777-abda-70c3cc41cc5d,2023-02-16T00:00:00Z,5.88,22,360,354687.94,usd,Condo unit 24317 Mendoza Prairie Suite 641
dcb39bd6-71f5-40f7-898e-af3a5676ef3d,LCC00000040,auto,active,0184f254-76bf-4046-b710-882fd5a04991,131f59b9-4c8f-4151-a41e-e5e95948c495,b5ce41c1-2212-4ba7-bcec-a17ed0b8f694,2020-06-26T00:00:00Z,8.5,1,72,32999.39,usd,2018 Toyota Escape VIN 2B3K2JGGWG9KUJKN8
fc3a9bd9-743d-435b-9a4a-b3ccf98d627b,LCC00000041,recreational,closed,b718a5d3-1bad-4fbe-a8e0-1b9e693e8237,40c218a0-ca70-4b01-92bc-65c9189babcb,97202dbb-8692-4793-bcb0-d3df7e6aaeee,2024-09-01T00:00:00Z,9.48,13,24,37586.33,usd,2020 Mazda Silverado VIN K41GC71UU9B3J8MZT
80ec44cd-1fe0-46d0-999c-b836b99b038f,LCC00000042,home_equity,active,791c6560-b571-4ef5-bada-055345e36146,d2f571aa-bb47-4b46-9a18-eed0af612e84,6084d683-74d1-49f6-814c-b311162b6c5e,2024-07-20T00:00:00Z,7.19,10,120,51983.91,usd,Single family residence 486 Sabrina Squares Apt. 257
2b4c3254-36ae-4b0e-925e-4742dbc8d422,LCC00000043,personal,delinquent,9fd90011-790a-4779-b889-8f150492788e,b332a135-425e-4fe6-8fb5-c58ca1e7486f,e931d367-438a-4cd6-a37c-d3d95a132f9c,2022-06-12T00:00:00Z,10.13,15,24,25350.17,usd,
fff71f32-17dd-43e8-ac86-e2d26f5c2bde,LCC00000044,home_equity,active,a0b50a9f-68a1-4fb4-9129-c07770cdf295,9aad8103-3c0f-442d-af81-59ec0d4f1d40,1f5cda0d-71f2-42cd-b9e1-be8cad20e735,2024-08-26T00:00:00Z,7.82,3,120,27614.22,usd,Primary residence 292 Jeffery Streets Suite 569
722df93d-d6da-46bf-98f2-fcd189a755ef,LCC00000045,mortgage,active,572ffdce-fff2-42c6-9390-f4d338ecdc9e,3c293948-2dc3-43f5-b6b4-04ec65b7870c,1e886641-d278-4c58-887b-49bdea0a3380,2021-10-05T00:00:00Z,6.33,7,360,376958.3,usd,Townhouse 0452 Ortiz Junction
c1275594-cdd8-456e-a7da-c2df49a060a4,LCC00000046,recreational,active,7c6097c7-7a0f-4438-8433-3ecb04815c28,7039deb1-bbbc-49fb-a63a-f66de6f73502,43df9b1a-404d-46f3-a9eb-1517acb6fd36,2023-01-24T00:00:00Z,8.69,15,36,46595.43,usd,2024 Honda Camry VIN 4HZXTZ0SJ24E814N1
a5cd865e-74f3-4420-88a3-1c22d9d7a96b,LCC00000047,home_equity,active,3161a692-61c5-4531-9835-6f8e7b22d6f2,c63c2cfd-ee75-485c-8ffb-84f40f695e12,6ee67b54-51ee-4fa5-befa-b09a5326be96,2022-05-05T00:00:00Z,7.49,19,180,105373.13,usd,Townhouse 6908 King Manor
32f54b7b-caad-435e-8ac4-f1cf58a0cda8,LCC00000048,auto,active,420f8368-0cda-4c70-8535-9be2edb0c4d0,83c22fcf-9905-4f2e-b4eb-b6b34cff8b50,b19f7fe9-15f6-43a0-8458-45176b0590f1,2024-06-28T00:00:00Z,8.06,15,60,32514.42,usd,2024 Honda Escape VIN V9ZWYMRZR2ETU2SLK
4815e0df-d732-4cce-aa89-274393e1d6cb,LCC00000049,home_equity,active,118a578a-7a57-4fea-a27e-d86802044cbd,fd8bd76e-eb13-4873-a93b-cc1bd9e7b9c0,62910ee8-60d0-473c-9386-d8f25a32e51d,2021-11-16T00:00:00Z,6.74,4,120,124569.59,usd,Primary residence 948 Schmitt Harbor
6839e54e-3d49-4c52-a205-ab6644750ca3,LCC00000050,home_equity,active,2ec731b8-1ef3-4251-b484-f744508cbf7f,4c484072-04b3-4eed-bc5f-862b584805d0,7a26e2aa-de93-46ef-933c-1b3c85c407ce,2024-03-10T00:00:00Z,9.09,10,120,103124.99,usd,Primary residence 954 Andrea Mews
57bcbe53-4954-47c7-9e2c-cf379aafd74b,LCC00000051,personal,active,4da4350d-0803-440b-924f-4505de174bb3,41559be7-3297-4e06-bd9a-1fd260398a0b,60251a0d-f12f-4814-8f5e-43cc94eedd86,2021-12-23T00:00:00Z,11.88,6,12,26425.29,usd,Condo unit 8927 Gillespie Cliff
45b7886c-4d74-4254-8f10-39350cec9e53,LCC00000052,personal,active,82c45a29-4f85-47bd-99af-f9b774a948aa,06823fb3-2e52-4ec3-bf01-8a8953aec9b2,d20d9953-5b5b-450d-9ed0-31fc79da79a1,2021-12-08T00:00:00Z,12.25,24,24,23177.92,usd,Single family residence 04164 Ward Junction
7b5397cd-0eff-4bfb-ad5c-b5a431585bef,LCC00000053,mortgage,active,d24f567f-bf94-4ab0-b139-3328ca00c448,60707000-6099-4cba-be9b-aced14ce87b8,8cefefd3-3b1d-4ad2-957c-1c0b85da7aca,2023-08-08T00:00:00Z,6.11,7,180,177518.05,usd,Primary residence 99926 Frazier Row
b8c2b116-4db3-4483-9ce6-6f5a75b92252,LCC00000054,mortgage,closed,79fb06bb-24aa-4905-8fec-9399b18e1b17,57b9e3b1-ee41-4462-b699-7e84182f518e,073bd907-e776-4544-afcd-6022b549f6fe,2024-01-20T00:00:00Z,6.1,12,180,350352.69,usd,Townhouse 269 Melanie Loop Apt. 933
adcfd551-e5eb-4281-ad8b-d9ef1bcebaf8,LCC00000055,mortgage,active,fe31489f-6486-48a5-a5da-18df844f1c29,57454e1b-9d81-4362-8a8a-22c1e63d5cb4,7bf18407-e949-4ac4-9333-4fd6322715c9,2020-02-27T00:00:00Z,6.11,18,360,572159.64,usd,Condo unit 50045 Kerry Harbor Suite 508
a65877ae-519c-4d94-bf06-fe698e51496e,LCC00000056,recreational,active,75c68453-601a-4b0f-84df-1faf784a5f27,50f49914-982d-48d3-9ea5-1f99a2fc358a,e80054b4-9221-4397-b0b4-6221b6a54deb,2023-07-30T00:00:00Z,13.53,24,24,22358.82,usd,2022 Honda CX-5 VIN TY6L23GFCFY3AC0HN
cc720a02-f80c-4de2-bda5-31895dfa7075,LCC00000057,recreational,active,b4b1f66e-8ca1-4ebb-a3a3-2b863892544f,3a0e92dd-70c8-4277-a9db-9e743f650bf8,4e7122d9-4b83-4cec-a787-4b0882741db7,2020-05-12T00:00:00Z,11.61,11,12,26883.28,usd,2023 Honda Civic VIN NJX475919DJ6L6ZDS
8e54851b-2f30-4253-a645-36f2b2cf0fa0,LCC00000058,auto,active,4f0b26b3-a1b5-4ef4-9c83-a96007880838,b2fc6200-6064-46c4-8fbe-427792cfa196,b525ead1-1853-4131-8e0e-9e5e2e8ca610,2022-09-24T00:00:00Z,5.2,24,60,66568.28,usd,2019 Toyota Camry VIN YSA6TN4598SFA90H1
ca40e6a9-6b40-4690-b4bc-84f1c5869eb5,LCC00000059,personal,active,4e181bcf-045f-422c-8e16-b812e8669d8d,dd4b0c12-8fe5-48d3-a52a-0e0afa764598,8064c1fb-ef9b-46db-9f00-613a8f749fc8,2021-03-02T00:00:00Z,12.62,26,24,7361.79,usd,Single family residence 094 Morris Parks Suite 058
c2a3dc01-3e18-40cc-8191-8f80747685dc,LCC00000060,personal,active,23ceb7d6-3acf-47e6-9f1f-2c66f725bb39,ca4997d4-df8a-4712-9510-5b3041006688,c5369d6a-62ce-4b20-9eee-d62225a03813,2024-12-18T00:00:00Z,8.05,28,12,20299.41,usd,
18cca146-df8c-4ac3-8f1f-3c6800550e0d,LCC00000061,recreational,active,caeb5b69-51b0-4da3-aa23-556c7544a445,0ad45e0e-5915-45c2-885e-77204289a969,f22bf523-00b4-44e8-a00d-b008d2b3e32c,2021-10-04T00:00:00Z,14.12,26,36,24459.32,usd,2019 Ford Civic VIN N7HNNXE44SXJ6UN97
f6f187f8-94a4-487d-9c8c-eab458ed39aa,LCC00000062,home_equity,active,6b5531fe-04aa-4825-928f-6fc85f65498d,81eb5eb6-6b60-4260-8943-94249c48c3af,ddae090f-e28a-459b-ac6f-a78b200faef7,2024-06-24T00:00:00Z,7.78,8,120,112917.89,usd,Condo unit 76548 Bradley Land
17b1936d-e370-408f-9ea4-1552f1b9aa14,LCC00000063,auto,active,aa8f6460-dafa-4f62-befb-9a31b61bdee2,975846f1-3858-4229-85c6-61b57dd91663,3cd2f0b1-69e9-49ac-8fd4-36cda3404c47,2023-10-20T00:00:00Z,5.58,11,48,53626.81,usd,2020 Ford Civic VIN D6BYFF856CMAXBPW9
c33787d6-3570-4ed7-acf1-9bffc93cde36,LCC00000064,personal,closed,2c64c17c-2567-4f0e-bcbd-d13a5f3bc805,269e2146-9975-4508-9de1-2fef7f95ae25,8b6e5114-fe8e-49dc-a743-3cca32cee6ce,2020-01-09T00:00:00Z,11.39,25,24,25671.38,usd,Townhouse 7410 George Gardens Suite 300
e82b7059-81da-4708-9b73-9fd69de5dc7d,LCC00000065,home_equity,closed,7ed7344e-0979-459e-8f77-3f234c141278,1a33b10d-4800-449f-acc0-22f0e4fa56bf,b5ec1f4b-7c9b-44e2-aa30-65a15a3e9c9a,2020-06-05T00:00:00Z,8.44,27,180,115201.82,usd,Townhouse 140 Austin Turnpike Apt. 790
6297c9e4-f874-4435-bd1c-d4ac30f5e96d,LCC00000066,mortgage,active,224c560a-cc39-4e78-bd83-01f1a9b8af14,9c16b874-3fb8-4ad5-b07c-d392444f595e,4642c6a7-8b03-4b9a-9a2b-6fb576f6bfba,2020-05-23T00:00:00Z,6.65,13,360,207868.96,usd,Primary residence 565 Chen Valleys Suite 092
78f545ea-797c-4ea2-9f4c-8dd8a5c9abd1,LCC00000067,personal,charged_off,7d5d4c3b-3471-45d8-9493-da4b3034c627,ee1e643a-9caa-49eb-a0c6-6c5c1b895746,381adfa7-6a81-44f6-979e-2574a62ea0a4,2021-02-26T00:00:00Z,11.09,1,48,42668.52,usd,
b493eb11-a064-48bf-ac60-f03585cea250,LCC00000068,auto,active,d320f80a-034f-4353-ab05-8b50c0d31d27,89860909-5fdc-4726-99af-7a95900cdfe7,9a649795-2e3c-45c0-84d2-d452e757a9a2,2020-05-06T00:00:00Z,5.96,1,72,70934.79,usd,2020 Chevrolet CX-5 VIN DBTWL25YBCRCWL600
769f987c-a92b-454a-8296-70c90afeefb9,LCC00000069,personal,active,6fbcea44-4ebd-4285-9ff2-8614c0bfafa8,d7ea26e3-0b3e-43c6-96dc-93fe80e220ba,258f0713-e64d-40db-9926-0ea2cec37386,2021-03-01T00:00:00Z,10.44,22,48,30887.28,usd,
f73957aa-a140-4b9f-969e-95fbd4cce4a4,LCC00000070,recreational,active,631de461-9f8d-4ebb-9ae3-b3c1ab401e99,91188954-048f-4728-9bd0-bbea4d0fc503,199cdb63-8fe8-475a-82a6-5e6c6951abab,2024-05-27T00:00:00Z,12.99,11,12,40340.41,usd,2018 Chevrolet CX-5 VIN EXK11UTJ03DDU32HT
cb4c02fa-14e0-4c5a-8c27-932e958a1e8e,LCC00000071,home_equity,active,a3301c63-a2a1-4463-b794-e7839e6085bb,d4e49487-2f97-4804-ae90-ee7d7c8671bb,a25307f7-224a-486c-8050-248cc9049b57,2022-10-04T00:00:00Z,8.73,15,120,52528.2,usd,Single family residence 843 Oliver Park
aa706d64-88af-4dd7-8306-0f53341f39f4,LCC00000072,recreational,active,63bd87e8-3ce2-407c-8f7c-1ef8047e09b5,05b97e72-fa0c-4f87-8b52-e49c347be303,11690eec-239e-4ed9-b61d-cd49e384c598,2020-03-07T00:00:00Z,13.85,10,48,20822.18,usd,2023 Mazda Silverado VIN TGV5ZTPPCS7N1X27L
92e9e7ec-0719-404f-a357-f2191e84d7c0,LCC00000073,auto,closed,5d85fee1-2618-4ac3-8f26-4db60b72f963,2b1647a9-6386-434e-846d-6044ed1b7c2f,4f350890-6970-4fff-8144-6413ca1d5754,2023-12-29T00:00:00Z,5.83,16,36,72004.32,usd,2021 Ford Civic VIN PJCV9USH4DSSSEBCG
d238b768-4348-43bb-9280-04ed1f04a088,LCC00000074,mortgage,active,97ef6777-1a6f-4322-ae3a-055acc23f0ec,1243881d-8f7a-46a0-9ff1-f0781b3f4728,e53399e2-7e61-4e50-b964-68dff014738d,2023-03-12T00:00:00Z,6.09,15,240,589314.91,usd,Townhouse 3183 Lynn Course
0fec5fec-68f0-4bb1-be21-49e8bfa7cba9,LCC00000075,recreational,active,c6a6f78c-82c0-4c6a-a767-77ecd2c828b4,322b32f2-d97d-462f-8e0b-bd7290605cd0,e53d8a42-4853-48c7-b17b-71113743f3d9,2023-01-09T00:00:00Z,12.84,5,36,10470.29,usd,2024 Honda CX-5 VIN XJZ9XEF5M5N2L0YYS
2f82f051-2d06-4398-81ef-8a6a1c95e2e8,LCC00000076,home_equity,closed,0e77e7ef-d5b1-4c19-8b8d-f1366b5ccd4f,4b9bf61c-bf52-446a-8327-2ed3901d4b92,67feed93-7788-4063-be64-edba0fc07d0c,2020-02-24T00:00:00Z,8.64,21,120,100455.74,usd,Single family residence 91357 Laura View
4703fd1d-cf41-4530-8e09-5e6cd934b4e7,LCC00000077,personal,active,f5419c33-1af3-431e-bfd2-976d092f2467,2bd63fac-1563-4863-a5ac-154ac5c35910,75d2419e-0f16-42df-a89d-efaae49fa41b,2021-05-08T00:00:00Z,10.02,12,24,9851.77,usd,
2e98289b-7838-45ae-9847-5cbef95cfd26,LCC00000078,recreational,active,6673641a-4ba0-472d-b75b-0d7315c17a78,38ac216b-0ffe-4e67-a52b-5523d5b59795,836cea3c-00cf-4980-b9b1-d58e27664882,2023-06-07T00:00:00Z,12.93,2,24,39017.77,usd,2021 Mazda Escape VIN PHU25R0Y15M3T0LAX
c3473468-5bec-484a-ba76-5fff3e52abf9,LCC00000079,recreational,active,f5b96909-dfe8-4fc4-93df-d645954926a8,834a6179-33d8-4b1f-a425-096aeb2d73b7,0ee5720c-f702-4025-acdb-f17dfc916517,2024-07-02T00:00:00Z,12.62,4,48,39693.46,usd,2024 Chevrolet Civic VIN KLN4A69JFCMU20L4S
5b10cec5-bda9-4e0b-a6d0-888d14a316e4,LCC00000080,recreational,active,8e1bdaee-f492-4d99-aa8a-174a5d66f31d,f63340da-f3c8-4c22-9c41-144b71699bd8,d7c2ac48-3268-401f-a676-6b1ce911020b,2021-11-04T00:00:00Z,14.21,1,24,11830.33,usd,2024 Honda Escape VIN VUVZU7302ZVMU4LE9
